context,question,text,original_index
"At the start of her reign Victoria was popular, but her reputation suffered in an 1839 court intrigue when one of her mother's ladies-in-waiting, Lady Flora Hastings, developed an abdominal growth that was widely rumoured to be an out-of-wedlock pregnancy by Sir John Conroy. Victoria believed the rumours. She hated Conroy, and despised ""that odious Lady Flora"", because she had conspired with Conroy and the Duchess of Kent in the Kensington System. At first, Lady Flora refused to submit to a naked medical examination, until in mid-February she eventually agreed, and was found to be a virgin. Conroy, the Hastings family and the opposition Tories organised a press campaign implicating the Queen in the spreading of false rumours about Lady Flora. When Lady Flora died in July, the post-mortem revealed a large tumour on her liver that had distended her abdomen. At public appearances, Victoria was hissed and jeered as ""Mrs. Melbourne"".",What was Queen Victoria called after Lady Flora's death due?,Mrs. Melbourne,14519
"Based on studies of these bronze inscriptions, it is clear that, from the Shang dynasty writing to that of the Western Zhou and early Eastern Zhou, the mainstream script evolved in a slow, unbroken fashion, until assuming the form that is now known as seal script in the late Eastern Zhou in the state of Qin, without any clear line of division. Meanwhile, other scripts had evolved, especially in the eastern and southern areas during the late Zhou dynasty, including regional forms, such as the gǔwén (""ancient forms"") of the eastern Warring States preserved as variant forms in the Han dynasty character dictionary Shuowen Jiezi, as well as decorative forms such as bird and insect scripts.",What type of forms are bird and insect scripts considered?,decorative,14520
"People of Ashkenazi descent constitute around 47.5% of Israeli Jews (and therefore 35–36% of Israelis). They have played a prominent role in the economy, media, and politics of Israel since its founding. During the first decades of Israel as a state, strong cultural conflict occurred between Sephardic and Ashkenazi Jews (mainly east European Ashkenazim). The roots of this conflict, which still exists to a much smaller extent in present-day Israeli society, are chiefly attributed to the concept of the ""melting pot"". That is to say, all Jewish immigrants who arrived in Israel were strongly encouraged to ""melt down"" their own particular exilic identities within the general social ""pot"" in order to become Israeli.",What percentage of all Israelis are thought to be of Ashkenazi descent?,35–36%,14521
"Two battle-hardened Australian divisions were steaming from the Mid-East for Singapore. Churchill wanted them diverted to Burma, but Curtin insisted on a return to Australia. In early 1942 elements of the Imperial Japanese Navy proposed an invasion of Australia. The Japanese Army opposed the plan and it was rejected in favour of a policy of isolating Australia from the United States via blockade by advancing through the South Pacific. The Japanese decided upon a seaborne invasion of Port Moresby, capital of the Australian Territory of Papua which would put Northern Australia within range of Japanese bomber aircraft.",How many Australian divisions steamed from the Mid-East for Singapore?,Two,14522
"The second decline was not as complete as the first. Thousands of people had learned to play the instrument. Even as the second wave of mandolin popularity declined in the early 20th century, new versions of the mandolin began to be used in new forms of music. Luthiers created the resonator mandolin, the flatback mandolin, the carved-top or arched-top mandolin, the mandolin-banjo and the electric mandolin. Musicians began playing it in Celtic, Bluegrass, Jazz and Rock-n-Roll styles — and Classical too.",Why was the second decline in popularity not a strong as the first?,Thousands of people had learned to play the instrument,14523
"Vehicles typically include headlamps and tail lights. Headlamps are white or selective yellow lights placed in the front of the vehicle, designed to illuminate the upcoming road and to make the vehicle more visible. Many manufactures are turning to LED headlights as an energy-efficient alternative to traditional headlamps. Tail and brake lights are red and emit light to the rear so as to reveal the vehicle's direction of travel to following drivers. White rear-facing reversing lamps indicate that the vehicle's transmission has been placed in the reverse gear, warning anyone behind the vehicle that it is moving backwards, or about to do so. Flashing turn signals on the front, side, and rear of the vehicle indicate an intended change of position or direction. In the late 1950s, some automakers began to use electroluminescent technology to backlight their cars' speedometers and other gauges or to draw attention to logos or other decorative elements.",What indicates that a driver is intending to change position?,turn signals,14524
"In all organisms, two steps are required to read the information encoded in a gene's DNA and produce the protein it specifies. First, the gene's DNA is transcribed to messenger RNA (mRNA).:6.1 Second, that mRNA is translated to protein.:6.2 RNA-coding genes must still go through the first step, but are not translated into protein. The process of producing a biologically functional molecule of either RNA or protein is called gene expression, and the resulting molecule is called a gene product.",What is the second step to read the information encoded in a gene's DNA and produce the protein it specifies?,mRNA is translated to protein,14525
"From childhood, Gaddafi was aware of the involvement of European colonialists in Libya; his nation was occupied by Italy, and during the North African Campaign of World War II it witnessed conflict between Italian and British troops. According to later claims, Gaddafi's paternal grandfather, Abdessalam Bouminyar, was killed by the Italian Army during the Italian invasion of 1911. At World War II's end in 1945, Libya was occupied by British and French forces. Although Britain and France intended on dividing the nation between their empires, the General Assembly of the United Nations (UN) declared that the country be granted political independence. In 1951, the UN created the United Kingdom of Libya, a federal state under the leadership of a pro-western monarch, Idris, who banned political parties and established an absolute monarchy.",Who battled the Italians during the North African campaign?,British,14526
"The record transfer fee for a Premier League player has risen steadily over the lifetime of the competition. Prior to the start of the first Premier League season Alan Shearer became the first British player to command a transfer fee of more than £3 million. The record rose steadily in the Premier League's first few seasons, until Alan Shearer made a record breaking £15 million move to Newcastle United in 1996. The three highest transfer in the sport's history had a Premier League club on the selling end, with Tottenham Hotspur selling Gareth Bale to Real Madrid for £85 million in 2013, Manchester United's sale of Cristiano Ronaldo to Real Madrid for £80 million in 2009, and Liverpool selling Luis Suárez to Barcelona for £75 million in 2014.",Have transfer fees been increasing over the past years?,The record transfer fee for a Premier League player has risen steadily over the lifetime of the competition.,14527
"In the colonial years, while conditions were more fluid, white women, indentured servant or free, and African men, servant, slave or free, made unions. Because the women were free, their mixed-race children were born free; they and their descendants formed most of the families of free people of color during the colonial period in Virginia. The scholar Paul Heinegg found that eighty percent of the free people of color in North Carolina in censuses from 1790–1810 could be traced to families free in Virginia in colonial years.",When could white women and black men be in a union?,In the colonial years,14528
There are scouting and guiding groups on Saint Helena and Ascension Island. Scouting was established on Saint Helena island in 1912. Lord and Lady Baden-Powell visited the Scouts on Saint Helena on the return from their 1937 tour of Africa. The visit is described in Lord Baden-Powell's book entitled African Adventures.,Who visited the scouts on their return from the tour of Africa in 1937?,Lord and Lady Baden-Powell,14529
"A year later, at the height of the 1975 Australian constitutional crisis, the Australian Prime Minister, Gough Whitlam, was dismissed from his post by Governor-General Sir John Kerr, after the Opposition-controlled Senate rejected Whitlam's budget proposals. As Whitlam had a majority in the House of Representatives, Speaker Gordon Scholes appealed to the Queen to reverse Kerr's decision. She declined, stating that she would not interfere in decisions reserved by the Constitution of Australia for the governor-general. The crisis fuelled Australian republicanism.",What did Whitlam have in the House of Representatives?,a majority,14530
"Matte solder is usually fused to provide a better bonding surface or stripped to bare copper. Treatments, such as benzimidazolethiol, prevent surface oxidation of bare copper. The places to which components will be mounted are typically plated, because untreated bare copper oxidizes quickly, and therefore is not readily solderable. Traditionally, any exposed copper was coated with solder by hot air solder levelling (HASL). The HASL finish prevents oxidation from the underlying copper, thereby guaranteeing a solderable surface. This solder was a tin-lead alloy, however new solder compounds are now used to achieve compliance with the RoHS directive in the EU and US, which restricts the use of lead. One of these lead-free compounds is SN100CL, made up of 99.3% tin, 0.7% copper, 0.05% nickel, and a nominal of 60ppm germanium.",What alloy can no longer be used in HASL because of restrictions on the use of one of its metal components?,tin-lead,14531
"At E3 2007, Sony was able to show a number of their upcoming video games for PlayStation 3, including Heavenly Sword, Lair, Ratchet & Clank Future: Tools of Destruction, Warhawk and Uncharted: Drake's Fortune; all of which were released in the third and fourth quarters of 2007. They also showed off a number of titles that were set for release in 2008 and 2009; most notably Killzone 2, Infamous, Gran Turismo 5 Prologue, LittleBigPlanet and SOCOM: U.S. Navy SEALs Confrontation. A number of third-party exclusives were also shown, including the highly anticipated Metal Gear Solid 4: Guns of the Patriots, alongside other high-profile third-party titles such as Grand Theft Auto IV, Call of Duty 4: Modern Warfare, Assassin's Creed, Devil May Cry 4 and Resident Evil 5. Two other important titles for PlayStation 3, Final Fantasy XIII and Final Fantasy Versus XIII, were shown at TGS 2007 in order to appease the Japanese market.",What year was Warhawk released for the PlayStation 3?,2007,14532
"Although Mali has enjoyed a reasonably good inter-ethnic relationships based on the long history of coexistence, some hereditary servitude and bondage relationship exist, as well as ethnic tension between settled Songhai and nomadic Tuaregs of the north. Due to a backlash against the northern population after independence, Mali is now in a situation where both groups complain about discrimination on the part of the other group. This conflict also plays a role in the continuing Northern Mali conflict where there is a tension between both Tuaregs and the Malian government, and the Tuaregs and radical Islamists who are trying to establish sharia law.",Radical Islam and the Tuaregs are both considered problematic according to whom?,Malian government,14533
"The Sell Assessment of Sexual Orientation (SASO) was developed to address the major concerns with the Kinsey Scale and Klein Sexual Orientation Grid and as such, measures sexual orientation on a continuum, considers various dimensions of sexual orientation, and considers homosexuality and heterosexuality separately. Rather than providing a final solution to the question of how to best measure sexual orientation, the SASO is meant to provoke discussion and debate about measurements of sexual orientation.",What does SASO stand for?,Sell Assessment of Sexual Orientation,14534
"Office buildings in Shanghai's financial district, including the Jin Mao Tower and the Hong Kong New World Tower, were evacuated. A receptionist at the Tibet Hotel in Chengdu said things were ""calm"" after the hotel evacuated its guests. Meanwhile, workers at a Ford plant in Sichuan were evacuated for about 10 minutes. Chengdu Shuangliu International Airport was shut down, and the control tower and regional radar control evacuated. One SilkAir flight was diverted and landed in Kunming as a result. Cathay Pacific delayed both legs of its quadruple daily Hong Kong to London route due to this disruption in air traffic services. Chengdu Shuangliu Airport reopened later on the evening of May 12, offering limited service as the airport began to be used as a staging area for relief operations.",Where were office buildings evacuated?,Shanghai's financial district,14535
"With its myriad islands, Alaska has nearly 34,000 miles (54,720 km) of tidal shoreline. The Aleutian Islands chain extends west from the southern tip of the Alaska Peninsula. Many active volcanoes are found in the Aleutians and in coastal regions. Unimak Island, for example, is home to Mount Shishaldin, which is an occasionally smoldering volcano that rises to 10,000 feet (3,048 m) above the North Pacific. It is the most perfect volcanic cone on Earth, even more symmetrical than Japan's Mount Fuji. The chain of volcanoes extends to Mount Spurr, west of Anchorage on the mainland. Geologists have identified Alaska as part of Wrangellia, a large region consisting of multiple states and Canadian provinces in the Pacific Northwest, which is actively undergoing continent building.",On which island is Mount Shishaldin located?,Unimak Island,14536
"Immediately after the War The Saint-Germain-des-Pres quarter and the nearby Saint-Michel quarter became home to many small jazz clubs, mostly found in cellars because of a lack of space; these included the Caveau des Lorientais, the Club Saint-Germain, the Rose Rouge, the Vieux-Colombier, and the most famous, Le Tabou. They introduced Parisians to the music of Claude Luter, Boris Vian, Sydney Bechet Mezz Mezzrow, and Henri Salvador. Most of the clubs closed by the early 1960s, as musical tastes shifted toward rock and roll. ",Why did the jazz clubs close down?,musical tastes shifted toward rock and roll,14537
"From the league's inception through ArenaBowl XVIII, the championship game was played at the home of the highest-seeded remaining team. The AFL then switched to a neutral-site championship, with ArenaBowls XIX and XX in Las Vegas. New Orleans Arena, home of the New Orleans VooDoo, served as the site of ArenaBowl XXI on July 29, 2007. This was the first professional sports championship to be staged in the city since Hurricane Katrina struck in August 2005. The San Jose SaberCats earned their third championship in six years by defeating the Columbus Destroyers 55–33. ArenaBowl XXI in New Orleans was deemed a success, and the city was chosen to host ArenaBowl XXII, in which the Philadelphia Soul defeated the defending champion San Jose Sabercats. In 2010, the location returned to being decided by which of the two participating teams was seeded higher. In ArenaBowl XXIII, the Spokane Shock defeated the Tampa Bay Storm at their home arena, Spokane Arena, in Spokane, Washington. In ArenaBowl XXIV, the Jacksonville Sharks, coming off of a victory in their conference final game four nights earlier, traveled to US Airways Center in Phoenix and defeated the Arizona Rattlers 73–70. ArenaBowl XXV returned to a neutral site and was once again played in New Orleans, where the Rattlers returned and defeated the Philadelphia Soul. Since 2014 the ArenaBowl has been played at the higher-seeded team.",What arena was ArenaBowl XXI played in?,New Orleans Arena,14538
"The Presbyterian Church in Taiwan (PCT) is by far the largest Protestant denomination in Taiwan, with some 238,372 members as of 2009 (including a majority of the island's aborigines). English Presbyterian missionary James Laidlaw Maxwell established the first Presbyterian church in Tainan in 1865. His colleague George Leslie Mackay, of the Canadian Presbyterian Mission, was active in Danshui and north Taiwan from 1872 to 1901; he founded the island's first university and hospital, and created a written script for Taiwanese Minnan. The English and Canadian missions joined together as the PCT in 1912. One of the few churches permitted to operate in Taiwan through the era of Japanese rule (1895–1945), the PCT experienced rapid growth during the era of Guomindang-imposed martial law (1949–1987), in part due to its support for democracy, human rights, and Taiwan independence. Former ROC president Lee Teng-hui (in office 1988–2000) is a Presbyterian.",How many members make up The Presbyterian Church denomination?,"238,372",14539
"According to geologist Stefan Schmid, because the Western Alps underwent a metamorphic event in the Cenozoic Era while the Austroalpine peaks underwent an event in the Cretaceous Period, the two areas show distinct differences in nappe formations. Flysch deposits in the Southern Alps of Lombardy probably occurred in the Cretaceous or later.",What happened to the Western Alps during the Cenozoic Era,a metamorphic event,14540
"Notably, a statute does not disappear automatically merely because it has been found unconstitutional; it must be deleted by a subsequent statute. Many federal and state statutes have remained on the books for decades after they were ruled to be unconstitutional. However, under the principle of stare decisis, no sensible lower court will enforce an unconstitutional statute, and any court that does so will be reversed by the Supreme Court. Conversely, any court that refuses to enforce a constitutional statute (where such constitutionality has been expressly established in prior cases) will risk reversal by the Supreme Court.",What happens when an unconstitutional statute remains on the books?,no sensible lower court will enforce,14541
"As of 2010, 46.29% (584,463) of Bronx residents aged five and older spoke Spanish at home, while 44.02% (555,767) spoke English, 2.48% (31,361) African languages, 0.91% (11,455) French, 0.90% (11,355) Italian, 0.87% (10,946) various Indic languages, 0.70% (8,836) other Indo-European languages, and Chinese was spoken at home by 0.50% (6,610) of the population over the age of five. In total, 55.98% (706,783) of the Bronx's population age five and older spoke a language at home other than English. A Garifuna-speaking community from Honduras and Guatemala also makes the Bronx its home.",How much of the Bronx speaks English at home?,44.02%,14542
"The most impressive and famous of Sumerian buildings are the ziggurats, large layered platforms which supported temples. Sumerian cylinder seals also depict houses built from reeds not unlike those built by the Marsh Arabs of Southern Iraq until as recently as 400 CE. The Sumerians also developed the arch, which enabled them to develop a strong type of dome. They built this by constructing and linking several arches. Sumerian temples and palaces made use of more advanced materials and techniques,[citation needed] such as buttresses, recesses, half columns, and clay nails.",Sumerians also built houses from reeds not very different from ones built by inhabitants in Iraq as recently as when?,400 CE,14543
"While Nintendo never released an adapter for playing NES games on the SNES (though the instructions included a way to connect both consoles to the same TV by either daisy chaining the RF switches or using AV outputs for one or both systems), the Super Game Boy adapter cartridge allows games designed for Nintendo's portable Game Boy system to be played on the SNES. The Super Game Boy touted several feature enhancements over the Game Boy, including palette substitution, custom screen borders, and (for specially enhanced games) access to the SNES console. Japan also saw the release of the Super Game Boy 2, which added a communication port to enable a second Game Boy to connect for multiplayer games.",What improvements did the Super Game Boy have over the Game Boy?,"palette substitution, custom screen borders, and (for specially enhanced games) access to the SNES console",14544
"East Asian cultures are influenced by two schools of thought, Confucianism, which advocated good governance as rule by leaders who are benevolent and virtuous, and Legalism, which advocated strict adherence to law. The influence of one school of thought over the other has varied throughout the centuries. One study indicates that throughout East Asia, only South Korea, Singapore, Japan, Taiwan and Hong Kong have societies that are robustly committed to a law-bound state. According to Awzar Thi, a member of the Asian Human Rights Commission, the rule of law in Thailand, Cambodia, and most of Asia is weak or nonexistent:",Which Asian countries strictly follow laws?,"South Korea, Singapore, Japan, Taiwan and Hong Kong",14545
"Most of the enlargement of the primate brain comes from a massive expansion of the cerebral cortex, especially the prefrontal cortex and the parts of the cortex involved in vision. The visual processing network of primates includes at least 30 distinguishable brain areas, with a complex web of interconnections. It has been estimated that visual processing areas occupy more than half of the total surface of the primate neocortex. The prefrontal cortex carries out functions that include planning, working memory, motivation, attention, and executive control. It takes up a much larger proportion of the brain for primates than for other species, and an especially large fraction of the human brain.",Primates have a visual processing network of how many brain areas?,30,14546
"Another potential weapon system for anti-aircraft use is the laser. Although air planners have imagined lasers in combat since the late 1960s, only the most modern laser systems are currently reaching what could be considered ""experimental usefulness"". In particular the Tactical High Energy Laser can be used in the anti-aircraft and anti-missile role. If current developments continue, some[who?] believe it is reasonable to suggest that lasers will play a major role in air defence starting in the next ten years.",When did personnel first start thinking about using lasers in combat?,the late 1960s,14547
"Autumn, winter, and early spring are frequently characterized by rain. Winters are cool and wet with December, the coolest month, averaging 40.6 °F (4.8 °C), with 28 annual days with lows that reach the freezing mark, and 2.0 days where the temperature stays at or below freezing all day; the temperature rarely lowers to 20 °F (−7 °C). Summers are sunny, dry and warm, with August, the warmest month, averaging 66.1 °F (18.9 °C), and with temperatures reaching 90 °F (32 °C) on 3.1 days per year, although 2011 is the most recent year to not reach 90 °F. The hottest officially recorded temperature was 103 °F (39 °C) on July 29, 2009; the coldest recorded temperature was 0 °F (−18 °C) on January 31, 1950; the record cold daily maximum is 16 °F (−9 °C) on January 14, 1950, while, conversely, the record warm daily minimum is 71 °F (22 °C) the day the official record high was set. The average window for freezing temperatures is November 16 thru March 10, allowing a growing season of 250 days.",How long is the growing season in the Seattle area?,250 days,14548
"The ratio of Muslims to Christians fluctuated throughout the period of Ottoman domination. In 1777–78, 47,000 Muslims constituted a majority over the island's 37,000 Christians. By 1872, the population of the island had risen to 144,000, comprising 44,000 Muslims and 100,000 Christians. The Muslim population included numerous crypto-Christians, including the Linobambaki, a crypto-Catholic community that arose due to religious persecution of the Catholic community by the Ottoman authorities; this community would assimilate into the Turkish Cypriot community during British rule.",How many Muslims made up the island's population in 1777-78?,"47,000",14549
"In the early 20th century came another turn toward nationalist politics with Solidaridad Gallega (1907–1912) modeled on Solidaritat Catalana in Catalonia. Solidaridad Gallega failed, but in 1916 Irmandades da Fala (Brotherhood of the Language) developed first as a cultural association but soon as a full-blown nationalist movement. Vicente Risco and Ramón Otero Pedrayo were outstanding cultural figures of this movement, and the magazine Nós ('Us'), founded 1920, its most notable cultural institution, Lois Peña Novo the outstanding political figure.",Which political group arose in 1916?,Irmandades da Fala,14550
"Valencia was founded as a Roman colony in 138 BC. The city is situated on the banks of the Turia, on the east coast of the Iberian Peninsula, fronting the Gulf of Valencia on the Mediterranean Sea. Its historic centre is one of the largest in Spain, with approximately 169 hectares; this heritage of ancient monuments, views and cultural attractions makes Valencia one of the country's most popular tourist destinations. Major monuments include Valencia Cathedral, the Torres de Serrans, the Torres de Quart, the Llotja de la Seda (declared a World Heritage Site by UNESCO in 1996), and the Ciutat de les Arts i les Ciències (City of Arts and Sciences), an entertainment-based cultural and architectural complex designed by Santiago Calatrava and Félix Candela. The Museu de Belles Arts de València houses a large collection of paintings from the 14th to the 18th centuries, including works by Velázquez, El Greco, and Goya, as well as an important series of engravings by Piranesi. The Institut Valencià d'Art Modern (Valencian Institute of Modern Art) houses both permanent collections and temporary exhibitions of contemporary art and photography.",When was Valencia's founding?,138 BC,14551
"In the Islamic tradition, Mary and Jesus were the only children who could not be touched by Satan at the moment of their birth, for God imposed a veil between them and Satan. According to author Shabbir Akhtar, the Islamic perspective on Mary's Immaculate Conception is compatible with the Catholic doctrine of the same topic. ""O People of the Book! Do not go beyond the bounds in your religion, and do not say anything of Allah but the truth. The Messiah, Jesus son of Mary, was but a Messenger of God, and a Word of His (Power) which He conveyed to Mary, and a spirit from Him. So believe in Allah (as the One, Unique God), and His Messengers (including Jesus, as Messenger); and do not say: (Allah is one of) a trinity. Give up (this assertion) â€"" (it is) for your own good (to do so). Allah is but One Allah ; All-Glorified He is in that He is absolutely above having a son. To Him belongs whatever is in the heavens and whatever is on the earth. And Allah suffices as the One to be relied on, to Whom affairs should be referred."" Quran 4/171",Which religion believes that God put a veil between Satan and Mary?,Islamic,14552
"All of these elements struck a chord with the older readers, such as college-aged adults, and they successfully gained in a way not seen before. In 1965, Spider-Man and the Hulk were both featured in Esquire magazine's list of 28 college campus heroes, alongside John F. Kennedy and Bob Dylan. In 2009 writer Geoff Boucher reflected that, ""Superman and DC Comics instantly seemed like boring old Pat Boone; Marvel felt like The Beatles and the British Invasion. It was Kirby's artwork with its tension and psychedelia that made it perfect for the times—or was it Lee's bravado and melodrama, which was somehow insecure and brash at the same time?""",What magazine featured two Marvel Characters in a college campus heroes feature?,Esquire,14553
"Season four premiered on January 18, 2005; this was the first season of the series to be aired in high definition, although the finale of season three was also aired in high definition. The number of those attending the auditions by now had increased to over 100,000 from the 10,000 of the first season. The age limit was raised to 28 in this season, and among those who benefited from this new rule were Constantine Maroulis and Bo Bice, the two rockers of the show.",What was the maximum age a contestant could be starting this season?,28,14554
"One by one, additional large hotels were constructed along the boardwalk, including the Brighton, Chelsea, Shelburne, Ambassador, Ritz Carlton, Mayflower, Madison House, and the Breakers. The Quaker-owned Chalfonte House, opened in 1868, and Haddon House, opened in 1869, flanked North Carolina Avenue at the beach end. Their original wood-frame structures would be enlarged, and even moved closer to the beach, over the years. The modern Chalfonte Hotel, eight stories tall, opened in 1904. The modern Haddon Hall was built in stages and was completed in 1929, at eleven stories. By this time, they were under the same ownership and merged into the Chalfonte-Haddon Hall Hotel, becoming the city's largest hotel with nearly 1,000 rooms. By 1930, the Claridge, the city's last large hotel before the casinos, opened its doors. The 400-room Claridge was built by a partnership that included renowned Philadelphia contractor John McShain. At 24 stories, it would become known as the ""Skyscraper By The Sea."" The city became known as the ""The World's Playground.",What year did the Quaker-owned Chalfonte House open?,1868,14555
"Several Germanic tribes celebrated the returning of the daylight. A predominant deity was during this jubilee driven around in a noisy procession on a ship on wheels. The winter would be driven out, to make sure that fertility could return in spring. A central figure was possibly the fertility goddess Nerthus. Also there are some indications that the effigy of Nerthus or Freyr was placed on a ship with wheels and accompanied by a procession of people in animal disguise and men in women's clothes. Aboard the ship would the marriage of a man and woman be consummated as a fertility ritual.",How was the ship carrying a predominant deity moved around during the jubilee?,on wheels,14556
"La Diablada Carnival takes place in Oruro in central Bolivia. It is celebrated in honor of the miners' patron saint, Vírgen de Socavon (the Virgin of the Tunnels). Over 50 parade groups dance, sing and play music over a five kilometre-long course. Participants dress up as demons, devils, angels, Incas and Spanish conquistadors. Dances include caporales and tinkus. The parade runs from morning until late at night, 18 hours a day, 3 days before Ash Wednesday. It was declared the 2001 ""Masterpieces of Oral Heritage and Intangible Heritage of Humanity"" for UNESCO. Throughout the country celebrations are held involving traditional rhythms and water parties. In Santa Cruz de la Sierra, on the east side of the country, tropical weather allows a Brazilian-type Carnival, with Comparsas dancing traditional songs in matching uniforms.",Who is the miners' patron saint?,Vírgen de Socavon,14557
"The elevator motor was located at the top of the shaft or beside the bottom of the shaft. Pushing the handle forward would cause the cab to rise; backwards would make it sink. The harder the pressure, the faster the elevator would move. The handle also served as a dead man switch: if the operator let go of the handle, it would return to its upright position, causing the elevator cab to stop. In time, safety interlocks would ensure that the inner and outer doors were closed before the elevator was allowed to move.",Moving the helve forward causes the cab to do what?,to rise,14558
"Sessions for West's sixth solo effort begin to take shape in early 2013 in his own personal loft's living room at a Paris hotel. Determined to ""undermine the commercial"", he once again brought together close collaborators and attempted to incorporate Chicago drill, dancehall, acid house, and industrial music. Primarily inspired by architecture, West's perfectionist tendencies led him to contact producer Rick Rubin fifteen days shy of its due date to strip down the record's sound in favor of a more minimalist approach. Initial promotion of his sixth album included worldwide video projections of the album's music and live television performances. Yeezus, West's sixth album, was released June 18, 2013 to rave reviews from critics. It became the rapper's sixth consecutive number one debut, but also marked his lowest solo opening week sales. Def Jam issued ""Black Skinhead"" to radio in July 2013 as the album's lead single. On September 6, 2013, Kanye West announced he would be headlining his first solo tour in five years, to support Yeezus, with fellow American rapper Kendrick Lamar accompanying him along the way.",What artist did Kanye go on tour with while promoting album number six?,Kendrick Lamar,14559
"Valencia was founded as a Roman colony in 138 BC. The city is situated on the banks of the Turia, on the east coast of the Iberian Peninsula, fronting the Gulf of Valencia on the Mediterranean Sea. Its historic centre is one of the largest in Spain, with approximately 169 hectares; this heritage of ancient monuments, views and cultural attractions makes Valencia one of the country's most popular tourist destinations. Major monuments include Valencia Cathedral, the Torres de Serrans, the Torres de Quart, the Llotja de la Seda (declared a World Heritage Site by UNESCO in 1996), and the Ciutat de les Arts i les Ciències (City of Arts and Sciences), an entertainment-based cultural and architectural complex designed by Santiago Calatrava and Félix Candela. The Museu de Belles Arts de València houses a large collection of paintings from the 14th to the 18th centuries, including works by Velázquez, El Greco, and Goya, as well as an important series of engravings by Piranesi. The Institut Valencià d'Art Modern (Valencian Institute of Modern Art) houses both permanent collections and temporary exhibitions of contemporary art and photography.",How big is Valencia's historic centre?,169 hectares,14560
"Carnival in the Netherlands is called Carnaval, Vastenavond or Vastelaovend(j), and is most celebrated in traditionally Catholic regions, mainly the southern provinces North Brabant and Limburg. Dutch Carnaval is officially celebrated on the Sunday through Tuesday preceding Ash Wednesday. Although traditions vary from town to town, some common characteristics of Dutch Carnaval include a parade, a ""prince"" plus cortège (""Jester/adjutant and Council of 11""), a Peasant Wedding (boerenbruiloft), and eating herring (haring happen) on Ash Wednesday.",In what provinces is the Carnival mainly celebrated in the Netherlands?,southern,14561
"In 1905, Lord Curzon split the large province of Bengal into a largely Hindu western half and ""Eastern Bengal and Assam"", a largely Muslim eastern half. The British goal was said to be for efficient administration but the people of Bengal were outraged at the apparent ""divide and rule"" strategy. It also marked the beginning of the organized anti-colonial movement. When the Liberal party in Britain came to power in 1906, he was removed. Bengal was reunified in 1911. The new Viceroy Gilbert Minto and the new Secretary of State for India John Morley consulted with Congress leaders on political reforms. The Morley-Minto reforms of 1909 provided for Indian membership of the provincial executive councils as well as the Viceroy's executive council. The Imperial Legislative Council was enlarged from 25 to 60 members and separate communal representation for Muslims was established in a dramatic step towards representative and responsible government. Several socio-religious organizations came into being at that time. Muslims set up the All India Muslim League in 1906. It was not a mass party but was designed to protect the interests of the aristocratic Muslims. It was internally divided by conflicting loyalties to Islam, the British, and India, and by distrust of Hindus. The Akhil Bharatiya Hindu Mahasabha and Rashtriya Swayamsevak Sangh (RSS) sought to represent Hindu interests though the later always claimed it to be a ""cultural"" organization. Sikhs founded the Shiromani Akali Dal in 1920. However, the largest and oldest political party Indian National Congress, founded in 1885, is perceived to have attempted to keep a distance from the socio-religious movements and identity politics.",What movement did the division of Bengal start?,anti-colonial,14562
"The final is normally held the Saturday after the Premier League season finishes in May. The only seasons in recent times when this pattern was not followed were 1999–2000, when most rounds were played a few weeks earlier than normal as an experiment, and 2010–11 and 2012–13 when the FA Cup Final was played before the Premier League season had finished, to allow Wembley Stadium to be ready for the UEFA Champions League final, as well as in 2011–12 to allow England time to prepare for that summer's European Championships.",Was there a time this was not the case? ,in recent times when this pattern was not followed were 1999–2000,14563
"In January 1977, Droney promoted him to First Assistant District Attorney, essentially making Kerry his campaign and media surrogate because Droney was afflicted with amyotrophic lateral sclerosis (ALS, or Lou Gehrig's Disease). As First Assistant, Kerry tried cases, which included winning convictions in a high-profile rape case and a murder. He also played a role in administering the office, including initiating the creation of special white-collar and organized crime units, creating programs to address the problems of rape and other crime victims and witnesses, and managing trial calendars to reflect case priorities. It was in this role in 1978 that Kerry announced an investigation into possible criminal charges against then Senator Edward Brooke, regarding ""misstatements"" in his first divorce trial. The inquiry ended with no charges being brought after investigators and prosecutors determined that Brooke's misstatements were pertinent to the case, but were not material enough to have affected the outcome.",What condition did Droney have?,amyotrophic lateral sclerosis,14564
"The term air defence was probably first used by Britain when Air Defence of Great Britain (ADGB) was created as a Royal Air Force command in 1925. However, arrangements in the UK were also called 'anti-aircraft', abbreviated as AA, a term that remained in general use into the 1950s. After the First World War it was sometimes prefixed by 'Light' or 'Heavy' (LAA or HAA) to classify a type of gun or unit. Nicknames for anti-aircraft guns include AA, AAA or triple-A, an abbreviation of anti-aircraft artillery; ""ack-ack"" (from the spelling alphabet used by the British for voice transmission of ""AA""); and archie (a World War I British term probably coined by Amyas Borton and believed to derive via the Royal Flying Corps from the music-hall comedian George Robey's line ""Archibald, certainly not!"").",What year was the ADGB created?,1925,14565
"Valencian is classified as a Western dialect, along with the northwestern varieties spoken in Western Catalonia (provinces of Lleida and the western half of Tarragona). The various forms of Catalan and Valencian are mutually intelligible (ranging from 90% to 95%)",What kind of Valencan is spoken in Western Catalonia?,northwestern varieties,14566
